CPF_CNPJ_do_Produtor;negocio_origem;nome_do_Segurado;matricula;CPF;inscricao;plano;plano_id;valor_base_R$;parcela;comissao_R$;porcentagem;data_pg;codigo_verba;nome_verba
49.812.635/0001-82;Individual;BRUNO TEIXEIRA;7370459873;921.583.467-28;5,27E+12;TERM LIFE;2395;R$ 215,35;19;R$ 323,03;150;04/08/1978;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;SRTA. PIETRA ALMEIDA;7905048810;710.943.628-40;2,09E+12;TERM LIFE;2395;R$ 48,68;15;R$ 31,64;65;24/08/2018;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;VITÓRIA DA PAZ;1285980178;739.406.581-20;2,38E+12;IPA COM MAJORACAO  IFPD - RIDER;2406;R$ 45,97;19;R$ 20,92;45.5;14/08/1995;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;VITÓRIA DA PAZ;1285980178;739.406.581-20;7,54E+12;TERM LIFE 2019;2113;R$ 212,87;17;R$ 319,30;150;04/08/1970;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;JOÃO LUCAS TEIXEIRA;758514060;461.957.830-48;8,37E+12;TERM LIFE 2019;2113;R$ 194,42;9;R$ 291,63;150;10/04/2012;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;STELLA NOVAES;1918565783;735.489.206-83;6,55E+12;IPA COM MAJORACAO  IFPD;2279;R$ 291,06;16;R$ 436,59;150;10/01/1982;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;SR. EMANUEL AZEVEDO;9951737930;145.976.302-52;2,13E+12;TERM LIFE 2019;2113;R$ 39,10;4;R$ 17,79;45.5;16/07/1987;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;SR. EMANUEL AZEVEDO;9951737930;145.976.302-52;2,13E+12;TERM LIFE;2395;R$ 102,64;2;R$ 153,95;150;17/09/1991;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;LUIGI MENDES;6502283243;482.103.659-24;1,81E+12;TERM LIFE 2019;2113;R$ 61,79;2;R$ 40,16;65;30/12/2006;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;NOAH FERREIRA;7439713673;193.408.765-39;2,47E+12;TERM LIFE 2019;2113;R$ 162,17;14;R$ 51,08;31.5;01/11/1978;1;ANGARIACAO INDIVIDUAL                                                 
49.812.635/0001-82;Individual;CECÍLIA SOUZA;2326071933;248.936.571-19;5,42E+12;TERM LIFE;2395;R$ 147,51;16;R$ 221,27;150;25/12/1981;1;ANGARIACAO INDIVIDUAL                                                 
