cpf)cnpj_prod;negocio_origem;nome_segurado;matricula;cpf;inscricao;plano;plano_id;valor_base_R$;parcela;comissao_r$;porcentagem;data_verba;nome_verba
81.043.257/0001-22;Individual;EDUARDA DA MOTA;5630989632;752.436.081-90;7,71E+12;IPA COM MAJORACAO  IFPD;2279;105,4617671;5;2,109235343;2;08/06/2018;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LUIZ MIGUEL GONÇALVES;324532908;495.738.620-00;1,49E+12;DOENCAS GRAVES PREMIUM - RIDER;2414;133,1684343;14;16,64605428;12,5;03/06/2003;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LUIZ MIGUEL GONÇALVES;324532908;495.738.620-00;4,99E+12;IPA COM MAJORACAO;2278;50,48397462;4;6,310496828;12,5;16/10/1982;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;GABRIEL FERREIRA;4326942020;512.467.083-53;9,94E+11;DIT  MAC  IPAM - 7 DIAS - RIDER;2421;93,85667438;20;11,7320843;12,5;17/01/1999;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;GABRIEL FERREIRA;4326942020;512.467.083-53;9,44E+12;DIT MEDICOS  MAC  IPAM 7 DIAS;2400;132,8998879;26;16,61248599;12,5;16/01/2020;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LUIZ GUSTAVO DA CUNHA;3484168085;380.546.972-10;7,91E+12;CAPITAL SEGURADO POR IFPD/IPA;1538;11,90308885;15;1,487886106;12,5;28/04/1983;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LUIZ GUSTAVO DA CUNHA;3484168085;380.546.972-10;4,28E+11;DIH ADICIONAL UTI RIDER;2411;142,8954595;25;17,86193244;12,5;27/09/1971;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LUIZ GUSTAVO DA CUNHA;3484168085;380.546.972-10;2,25E+12;DIT  MQC 7 DIAS;2397;141,9544495;8;25,55180091;18;29/09/1984;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LUIZ GUSTAVO DA CUNHA;3484168085;380.546.972-10;3,46E+12;SAF FAMILIAR SUPERLUXO - R7.000 - RIDER;2418;45,70019608;27;5,712524511;12,5;27/01/2005;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LORENZO GONÇALVES;2017287228;263.784.901-04;1,06E+12;DIARIA DE INTERNACAO HOSPITALAR - 200 DI;2115;75,33542427;15;1,506708485;2;13/05/2009;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LORENZO GONÇALVES;2017287228;263.784.901-04;2,28E+12;DIH ADICIONAL UTI RIDER;2411;178,3614338;3;22,29517922;12,5;28/02/2016;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LORENZO GONÇALVES;2017287228;263.784.901-04;3,29E+12;ADICIONAL - UTI;2117;101,3533847;6;18,24360924;18;22/10/2009;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;JOANA BARROS;1969551060;168.237.049-69;8,93E+12;ADICIONAL - UTI;2117;93,73897964;22;11,71737246;12,5;26/03/2005;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;STELLA DUARTE;9333072398;469.538.107-93;7,91E+12;SAF FAMILIAR SUPERLUXO - R7.000 - RIDER;2418;249,3361774;28;31,16702217;12,5;06/02/1981;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;STELLA DUARTE;9333072398;469.538.107-93;3,60E+12;IPA COM MAJORACAO  IFPD - RIDER;2406;102,8181847;6;18,50727324;18;09/05/2004;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;STELLA DUARTE;9333072398;469.538.107-93;3,60E+12;WHOLE LIFE PLUS - DIH;1759;160,068857;22;20,00860713;12,5;24/11/1996;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;STELLA DUARTE;9333072398;469.538.107-93;6,01E+12;DIT  MAC  IPAM - 7 DIAS - RIDER;2421;57,80178515;27;7,225223143;12,5;06/06/2018;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MATHEUS SALES;9248977256;345.902.867-00;4,32E+12;WHOLE LIFE PLUS AFC;1758;238,1394963;30;42,86510933;18;01/11/1984;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MATHEUS SALES;9248977256;345.902.867-00;8,88E+12;DIT MEDICOS  MAC  IPAM 7 DIAS;2400;102,3579713;7;2,047159425;2;29/12/1994;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MATHEUS SALES;9248977256;345.902.867-00;3,96E+11;CAPITAL SEGURADO POR IFPD/IPA;1538;67,8397712;30;8,479971401;12,5;31/05/1992;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MATHEUS SALES;9248977256;345.902.867-00;4,64E+12;IPA COM MAJORACAO;2278;187,1727447;30;3,743454893;2;05/02/2011;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MATHEUS SALES;9248977256;345.902.867-00;5,13E+11;WHOLE LIFE PLUS - IPA;1755;188,5205202;30;3,770410405;2;22/01/1998;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MATHEUS SALES;9248977256;345.902.867-00;5,13E+11;IPA COM MAJORACAO  IFPD;2279;7,050542994;18;0,881317874;12,5;20/12/1982;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MATHEUS SALES;9248977256;345.902.867-00;5,13E+11;DIT COM LER E DORT E IPA MAJORADA;1784;277,6337679;18;49,97407822;18;04/09/2007;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;MATHEUS SALES;9248977256;345.902.867-00;8,48E+12;DIH ADICIONAL UTI RIDER;2411;192,5160878;5;3,850321756;2;27/12/1995;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;ELOAH PINTO;3414993403;357.068.421-08;9,43E+12;SAF FAMILIAR SUPERLUXO - R7.000 - RIDER;2418;106,4629745;30;13,30787181;12,5;02/08/1986;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;LARA ALVES;3389837239;264.385.701-17;5,78E+12;WHOLE LIFE PLUS - DIH;1759;257,1180415;24;5,142360829;2;09/12/1989;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;7,14E+12;IPA COM MAJORACAO  IFPD;2279;214,2110669;16;38,55799204;18;03/08/2006;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;7,14E+12;IPA COM MAJORACAO  IFPD - RIDER;2406;167,6307279;7;30,17353102;18;19/06/1987;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;1,49E+12;DIARIA DE INTERNACAO HOSPITALAR - 250 DI;2116;228,7011586;11;41,16620856;18;18/10/1973;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;1,49E+12;DIARIA DE INTERNACAO HOSPITALAR - 200 DI;2115;224,4390807;17;28,05488508;12,5;15/04/1971;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;7,14E+12;WHOLE LIFE PLUS - IPA  IFPD;1756;154,1587334;24;19,26984168;12,5;30/09/2006;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;7,14E+12;CAPTAL SEGURADO POR IPA;1537;92,78875021;23;1,855775004;2;17/04/1997;CARTEIRA GRUPAL                                                       
81.043.257/0001-22;Individual;BRUNA MORAES;3481752898;570.362.894-65;7,14E+12;DIH ADICIONAL UTI RIDER;2411;15,86985838;15;2,856574509;18;22/09/1986;CARTEIRA GRUPAL                                                       
